Shipment_ID,Region,Transport_Mode,Product_Category,Shipment_Volume_kg,Distance_km,Delivery_Time_Days,Transportation_Cost_INR,Delay_Risk
10417,West,Air,Apparel,490.4,783.6,1.45,932.87,0.055
10418,North,Sea,Apparel,204.6,489.1,6.48,428.58,0.302
10419,South,Road,Apparel,537.0,1800.0,5.82,1677.43,0.325
10420,East,Road,Food,744.8,750.6,2.71,1047.51,0.246
10421,West,Road,Apparel,324.4,1099.1,5.93,983.4,0.173
10422,East,Rail,Food,580.6,79.4,3.18,470.69,0.084
10423,West,Sea,Industrial,355.2,96.0,4.32,116.87,0.01
10424,East,Rail,Apparel,399.1,649.7,4.94,598.09,0.271
10425,South,Rail,Apparel,785.9,318.6,5.95,698.35,0.268
10426,North,Road,Electronics,422.3,685.4,3.92,941.29,0.027
10427,West,Sea,Apparel,603.2,427.2,4.38,640.34,0.027
10428,West,Road,Electronics,183.2,1800.0,6.76,1489.31,0.175
10429,North,Road,Electronics,855.2,1050.2,4.6,1037.8,0.295
10430,East,Road,Industrial,628.5,1294.8,7.74,1134.23,0.45
10431,North,Road,Electronics,487.2,114.8,2.7,418.91,0.067
10432,East,Road,Apparel,623.6,929.3,1.98,1018.77,0.01
10433,West,Road,Industrial,266.2,525.6,3.79,510.7,0.01
10434,North,Road,Industrial,732.9,1308.6,7.96,1375.92,0.363
10435,South,Rail,Electronics,461.7,853.2,7.3,893.61,0.258
10436,North,Road,Electronics,483.3,573.4,5.91,820.81,0.234
10437,East,Road,Apparel,431.5,255.6,1.72,497.54,0.115
10438,West,Sea,Food,415.5,642.3,7.18,782.48,0.308
10439,North,Air,Industrial,645.0,1137.2,2.58,1420.4,0.123
10440,South,Road,Electronics,566.1,1350.8,5.8,1319.92,0.258
10441,West,Road,Electronics,637.3,469.0,2.12,821.14,0.023
10442,South,Sea,Apparel,518.4,1800.0,8.0,1460.68,0.327
10443,North,Road,Industrial,612.4,1087.7,4.19,1413.65,0.101
10444,South,Road,Electronics,444.6,323.1,4.19,573.17,0.162
10445,East,Sea,Apparel,921.4,273.4,6.79,653.11,0.435
10446,East,Road,Electronics,237.8,546.4,3.71,660.52,0.01
10447,South,Air,Electronics,747.0,468.2,0.5,1149.8,0.1
10448,West,Rail,Industrial,766.2,787.2,5.23,1034.92,0.327
10449,East,Rail,Electronics,366.6,602.1,3.85,518.05,0.026
10450,South,Road,Apparel,921.3,493.7,5.06,988.73,0.433
10451,West,Road,Industrial,699.2,190.3,4.51,520.0,0.125
10452,West,Road,Food,694.8,868.3,5.87,1046.65,0.357
10453,South,Road,Electronics,525.0,177.7,1.97,353.34,0.128
10454,North,Sea,Apparel,480.9,1089.7,3.87,1068.93,0.115
10455,East,Road,Industrial,482.3,126.6,0.6,355.07,0.184
10456,East,Rail,Apparel,590.3,169.6,5.74,454.03,0.313
10457,North,Air,Food,772.2,322.1,1.29,860.68,0.205
10458,East,Air,Food,552.6,441.8,0.89,1053.45,0.204
10459,West,Road,Food,355.9,384.3,5.12,724.62,0.288
10460,North,Road,Electronics,668.4,440.6,5.14,722.12,0.259
10461,East,Sea,Industrial,685.8,693.6,6.53,828.18,0.221
10462,North,Rail,Industrial,637.8,327.3,4.08,544.95,0.149
10463,East,Air,Electronics,654.2,697.4,2.32,1206.45,0.187
10464,South,Sea,Industrial,471.2,80.5,5.18,261.27,0.276
10465,North,Air,Industrial,352.8,318.8,3.22,669.82,0.192
10466,West,Road,Food,363.7,162.9,3.17,478.14,0.01
10467,North,Rail,Apparel,225.6,1082.6,6.53,900.79,0.276
10468,East,Road,Apparel,562.7,357.7,4.72,610.43,0.097
10469,North,Rail,Industrial,505.0,837.1,4.02,747.46,0.049
10470,West,Sea,Electronics,440.8,139.9,5.91,384.23,0.447
10471,East,Road,Industrial,80.0,1338.2,4.61,1291.79,0.095
10472,West,Road,Industrial,295.5,623.7,0.59,758.06,0.071
10473,South,Road,Food,721.8,1715.8,3.96,1790.05,0.202
10474,South,Sea,Apparel,400.4,580.6,4.71,545.06,0.01
10475,East,Road,Food,584.9,192.1,3.61,525.26,0.047
10476,West,Road,Electronics,269.7,291.6,2.98,358.33,0.169
10477,West,Road,Industrial,779.0,503.7,4.11,789.37,0.156
10478,North,Road,Apparel,494.1,299.6,5.46,612.73,0.222
10479,East,Road,Electronics,572.2,1021.9,3.28,1105.28,0.192
10480,North,Road,Industrial,938.6,612.2,4.27,827.89,0.294
10481,South,Road,Food,793.0,302.3,3.82,552.32,0.236
10482,West,Road,Food,464.8,933.0,3.61,862.68,0.068
10483,South,Road,Electronics,413.2,461.7,3.42,670.18,0.083
10484,West,Road,Industrial,461.4,908.6,2.51,1153.7,0.044
10485,South,Road,Food,611.8,414.7,5.19,798.13,0.21
10486,North,Rail,Industrial,501.1,803.3,4.52,693.21,0.027
10487,South,Road,Industrial,448.9,451.2,5.84,761.28,0.237
10488,East,Road,Electronics,784.1,1022.1,5.0,1269.53,0.128
10489,West,Road,Electronics,499.4,142.5,4.01,293.28,0.01
10490,East,Road,Industrial,933.9,240.6,3.41,658.16,0.215
10491,West,Road,Food,536.3,532.9,3.64,827.51,0.116
10492,West,Road,Apparel,841.4,368.7,2.95,788.36,0.319
10493,West,Sea,Apparel,584.3,442.2,5.97,480.99,0.233
10494,East,Road,Food,693.3,858.1,4.96,1083.97,0.121
10495,South,Road,Industrial,389.6,436.1,2.36,405.26,0.122
10496,South,Road,Electronics,366.3,712.5,3.74,766.78,0.082
10497,North,Road,Food,602.7,317.3,2.54,704.01,0.152
10498,South,Road,Industrial,697.9,117.6,5.7,499.48,0.334
10499,West,Air,Apparel,527.2,905.3,2.69,1158.34,0.123
10500,South,Air,Apparel,288.4,1511.2,5.73,1619.23,0.262
